perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
bright_minus10,0.9966324552079662,0.9985789778104952,10,10,0,0.7651901245117188,0.809805691242218,PLBT1.jpg,efficientnet_b2,10,Parallel lamination,0.7651901245117188
noise_sigma6,0.9826616233493952,0.9908970741384854,10,10,0,0.7651901245117188,0.82901531457901,PLBT1.jpg,efficientnet_b2,10,Parallel lamination,0.7651901245117188
blur_sigma2,0.7109896155298153,0.71871913428057,10,10,0,0.7651901245117188,0.895325779914856,PLBT1.jpg,efficientnet_b2,10,Parallel lamination,0.7651901245117188
shift_5px,0.48772204201828306,0.060223139370917306,10,10,0,0.7651901245117188,0.9079618453979492,PLBT1.jpg,efficientnet_b2,10,Parallel lamination,0.7651901245117188
bright_plus10,0.9974421599443869,0.9991174215610515,10,10,0,0.8963241577148438,0.8956913352012634,PLBT2.jpg,efficientnet_b2,10,Parallel lamination,0.8963241577148438
bright_minus10,0.9962959699436186,0.9989477488882841,10,10,0,0.8963241577148438,0.8969599604606628,PLBT2.jpg,efficientnet_b2,10,Parallel lamination,0.8963241577148438
noise_sigma6,0.895351007492963,0.964585644635471,10,10,0,0.8963241577148438,0.9005128741264343,PLBT2.jpg,efficientnet_b2,10,Parallel lamination,0.8963241577148438
blur_sigma2,0.4861439716469928,0.6045348635380634,10,10,0,0.8963241577148438,0.8818649649620056,PLBT2.jpg,efficientnet_b2,10,Parallel lamination,0.8963241577148438
shift_5px,0.7634249605574158,0.6006431171459466,10,10,0,0.8963241577148438,0.8947249054908752,PLBT2.jpg,efficientnet_b2,10,Parallel lamination,0.8963241577148438
bright_plus10,0.9984718535223068,0.9995371256990375,4,4,0,0.957892656326294,0.9575249552726746,WBBT1.jpg,efficientnet_b2,4,Wavy bedding,0.957892656326294
bright_minus10,0.9984695744949924,0.999525853852335,4,4,0,0.957892656326294,0.9578757286071777,WBBT1.jpg,efficientnet_b2,4,Wavy bedding,0.957892656326294
noise_sigma6,0.9771184166085187,0.9943227890143862,4,4,0,0.957892656326294,0.9549751877784729,WBBT1.jpg,efficientnet_b2,4,Wavy bedding,0.957892656326294
blur_sigma2,0.9055387491267652,0.9673504943003276,4,4,0,0.957892656326294,0.944607138633728,WBBT1.jpg,efficientnet_b2,4,Wavy bedding,0.957892656326294
shift_5px,0.7315681711893061,0.8571463092999502,4,4,0,0.957892656326294,0.9481909275054932,WBBT1.jpg,efficientnet_b2,4,Wavy bedding,0.957892656326294
bright_plus10,0.9936916957262961,0.9984710903111778,4,4,0,0.9504755139350891,0.9479432106018066,WBBT2.jpg,efficientnet_b2,4,Wavy bedding,0.9504755139350891
bright_minus10,0.9924745664806962,0.998332255083779,4,4,0,0.9504755139350891,0.9531220197677612,WBBT2.jpg,efficientnet_b2,4,Wavy bedding,0.9504755139350891
noise_sigma6,0.9711963012830199,0.990539783007919,4,4,0,0.9504755139350891,0.9430025219917297,WBBT2.jpg,efficientnet_b2,4,Wavy bedding,0.9504755139350891
blur_sigma2,0.8718724795167219,0.9585296075867277,4,4,0,0.9504755139350891,0.9370670318603516,WBBT2.jpg,efficientnet_b2,4,Wavy bedding,0.9504755139350891
shift_5px,0.7376460063452065,0.9114862092742926,4,4,0,0.9504755139350891,0.9492331743240356,WBBT2.jpg,efficientnet_b2,4,Wavy bedding,0.9504755139350891
bright_plus10,0.9855252420630843,0.9879934279979896,10,10,0,0.5855083465576172,0.454451322555542,image14.jpg,efficientnet_b2,10,Parallel lamination,0.5855083465576172
bright_minus10,0.9442405425449201,0.9789145991131715,10,10,0,0.5855083465576172,0.6666629314422607,image14.jpg,efficientnet_b2,10,Parallel lamination,0.5855083465576172
noise_sigma6,0.9458684048133861,0.9870457092933006,10,10,0,0.5855083465576172,0.5178881287574768,image14.jpg,efficientnet_b2,10,Parallel lamination,0.5855083465576172
blur_sigma2,0.77675004737597,0.7271689900456348,10,10,0,0.5855083465576172,0.8613228797912598,image14.jpg,efficientnet_b2,10,Parallel lamination,0.5855083465576172
shift_5px,0.6237299688281196,0.5187712210693463,10,10,0,0.5855083465576172,0.825600802898407,image14.jpg,efficientnet_b2,10,Parallel lamination,0.5855083465576172
